dataset,frame,people_count
set01-occ.vbb,0,5
set01-occ.vbb,1,9
set01-occ.vbb,2,10
set01-occ.vbb,3,4
set01-occ.vbb,4,2
set01-occ.vbb,5,3
set01-occ.vbb,6,6
set01-occ.vbb,7,8
set01-occ.vbb,8,11
set01-occ.vbb,9,7
set01-occ.vbb,10,6
set01-occ.vbb,11,4
set01-occ.vbb,12,2
set01-occ.vbb,13,8
set01-occ.vbb,14,5
set01-occ.vbb,15,3
set01-occ.vbb,16,2
set01-occ.vbb,17,6
set01-occ.vbb,18,2
set01-occ.vbb,19,2
set01-occ.vbb,20,3
set01-occ.vbb,21,4
set01-occ.vbb,22,3
set01-occ.vbb,23,9
set01-occ.vbb,24,8
set01-occ.vbb,25,8
set01-occ.vbb,26,3
set01-occ.vbb,27,7
set01-occ.vbb,28,4
set01-occ.vbb,29,6
set01-occ.vbb,30,7
set01-occ.vbb,31,7
set01-occ.vbb,32,6
set01-occ.vbb,33,5
set01-occ.vbb,34,17
set01-occ.vbb,35,11
set01-occ.vbb,36,2
set01-occ.vbb,37,3
set01-occ.vbb,38,6
set01-occ.vbb,39,3
set01-occ.vbb,40,7
set01-occ.vbb,41,12
set01-occ.vbb,42,6
set01-occ.vbb,43,4
set01-occ.vbb,44,5
set01-occ.vbb,45,5
set01-occ.vbb,46,6
set01-occ.vbb,47,5
set01-occ.vbb,48,4
set01-occ.vbb,49,2
set01-occ.vbb,50,5
set01-occ.vbb,51,6
set01-occ.vbb,52,5
set01-occ.vbb,53,4
set01-occ.vbb,54,8
set01-occ.vbb,55,2
set01-occ.vbb,56,6
set01-occ.vbb,57,1
set01-occ.vbb,58,1
set01-occ.vbb,59,1
set01-occ.vbb,60,1
set01-occ.vbb,61,1
set01-occ.vbb,62,1
set01-occ.vbb,63,8
set01-occ.vbb,64,3
set01-occ.vbb,65,3
set01-occ.vbb,66,1
set01-occ.vbb,67,2
set01-occ.vbb,68,5
set01-occ.vbb,69,4
