split,image,class_id,x_center,y_center,width,height
test,ffhq_1002.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1014.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_102.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_103.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1033.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1034.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1037.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1043.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1046.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1049.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1069.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1072.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1073.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1075.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1076.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1078.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_108.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1081.jpg,3,0.499,0.499,0.999,0.999
test,ffhq_1082.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1086.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1091.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1093.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1096.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1098.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1101.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1102.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1120.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1128.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1129.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1138.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1145.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1146.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1148.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1157.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1158.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1163.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1177.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1184.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1187.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1188.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1190.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1192.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1196.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1199.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1203.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1210.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1211.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1215.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1216.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1222.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_123.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1233.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1240.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1244.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1253.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_127.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1274.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1275.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1276.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1279.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_128.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1281.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1285.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1287.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1289.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_129.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1294.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_13.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_130.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1307.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_131.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1310.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1316.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1321.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1322.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1331.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_136.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1361.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1363.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1369.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1372.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1382.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1385.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1386.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1388.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_139.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1390.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1395.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1406.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1409.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1419.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1420.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1424.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1425.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1428.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_143.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1431.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1434.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1444.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1448.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1452.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1454.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1458.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_146.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1461.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1462.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1468.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1469.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1473.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1476.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1478.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1483.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1485.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1489.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1494.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_15.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1511.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1513.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1515.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1518.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1525.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1527.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1538.jpg,3,0.499,0.499,0.999,0.999
test,ffhq_154.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1545.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1550.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1554.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1559.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_157.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1571.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1572.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1574.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1577.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1579.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_158.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1590.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1599.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1609.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1610.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_162.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1620.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1621.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1622.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_163.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1641.jpg,2,0.499,0.499,0.999,0.999
test,ffhq_1648.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1654.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1660.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1667.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_167.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1670.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1676.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1688.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1699.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1707.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1708.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1711.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1712.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1717.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1723.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1724.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1729.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_173.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1730.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1733.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1739.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_174.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1742.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1758.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1762.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1765.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1769.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1774.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1775.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_178.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1780.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1786.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_179.jpg,3,0.499,0.499,0.999,0.999
test,ffhq_1792.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1795.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1803.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1806.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1817.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1819.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1824.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1827.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1834.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1845.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1847.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1848.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1851.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1859.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1861.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1867.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1876.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1885.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_189.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1892.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1893.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1895.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_190.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1907.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1915.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1917.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_1919.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_192.jpg,3,0.499,0.499,0.999,0.999
test,ffhq_1920.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_1926.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_1937.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_194.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_1946.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_195.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_196.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1961.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1975.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1976.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1978.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_198.jpg,1,0.499,0.499,0.999,0.999
test,ffhq_1988.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_1998.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_2.jpg,0,0.499,0.499,0.999,0.999
test,ffhq_2003.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_2005.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_2008.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_2010.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_2021.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_2024.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_2027.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_2032.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_2037.jpg,7,0.499,0.499,0.999,0.999
test,ffhq_2039.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_2053.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_2056.jpg,5,0.499,0.499,0.999,0.999
test,ffhq_206.jpg,6,0.499,0.499,0.999,0.999
test,ffhq_2063.jpg,4,0.499,0.499,0.999,0.999
test,ffhq_2072.jpg,2,0.499,0.499,0.999,0.999
