dataset,frame,people_count
set07-occ.vbb,0,2
set07-occ.vbb,1,2
set07-occ.vbb,2,3
set07-occ.vbb,3,4
set07-occ.vbb,4,4
set07-occ.vbb,5,5
set07-occ.vbb,6,5
set07-occ.vbb,7,5
set07-occ.vbb,8,6
set07-occ.vbb,9,6
set07-occ.vbb,10,6
set07-occ.vbb,11,6
set07-occ.vbb,12,6
set07-occ.vbb,13,6
set07-occ.vbb,14,6
set07-occ.vbb,15,6
set07-occ.vbb,16,6
set07-occ.vbb,17,6
set07-occ.vbb,18,6
set07-occ.vbb,19,5
set07-occ.vbb,20,5
set07-occ.vbb,21,6
set07-occ.vbb,22,7
set07-occ.vbb,23,6
set07-occ.vbb,24,6
set07-occ.vbb,25,6
set07-occ.vbb,26,4
set07-occ.vbb,27,9
set07-occ.vbb,28,10
set07-occ.vbb,29,13
set07-occ.vbb,30,12
set07-occ.vbb,31,12
set07-occ.vbb,32,13
set07-occ.vbb,33,13
set07-occ.vbb,34,13
set07-occ.vbb,35,12
set07-occ.vbb,36,12
set07-occ.vbb,37,12
set07-occ.vbb,38,11
set07-occ.vbb,39,12
set07-occ.vbb,40,14
set07-occ.vbb,41,14
set07-occ.vbb,42,14
set07-occ.vbb,43,15
